speaker_id,speaker_prompt_text_transcription,speaker_prompt_audio_filename,content_to_synthesize,output_audio_filename
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,歡迎收聽最新一集,eva0001
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,不知道有多少聽眾跟我一樣,eva0002
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,從小到大覺得自己的腸胃不好,eva0003
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,那我們今天就要一起來解開這個謎題,eva0004
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,空中的聽眾朋友大家好,eva0005
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,我從小到大一直有的疑問,eva0006
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,這個可能跟大家生活中會遇到的腸胃困難,eva0007
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,但是我實在是太想問了,eva0008
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,就是我們整個消化道啊,eva0009
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,到底算身體裡面還是外面,eva0010
04fa6469cfca176f6f7f00171651fe8eab88350ba421c41d43aa99d4ccc32f7ac08e3518a7afb9cd81d483292e007471f2e7d8925ab183f96408c8a6329187e8,回程我兒子一直喊腳酸,common_voice_zh-TW_18390691,因為如果嘴巴打開,eva0011
